ID,major_cat,general_cat,specific_cat,met_value
1,01 Personal Care,01 Sleeping,01 Sleeping,0.92
2,01 Personal Care,01 Sleeping,02 Sleeplessness,1
3,01 Personal Care,01 Sleeping,"99 Sleeping, n.e.c.",0.94
4,01 Personal Care,02 Grooming,"01 Washing, dressing and grooming oneself",2.1
5,01 Personal Care,02 Grooming,"99 Grooming, n.e.c.",2.1
6,01 Personal Care,03 Health-related Self Care,01 Health-related self care,1.29
7,01 Personal Care,03 Health-related Self Care,"99 Self care, n.e.c.",1.29
8,01 Personal Care,04 Personal Activities,01 Personal/Private Activities,1.04
9,01 Personal Care,04 Personal Activities,"99 Personal activities, n.e.c.",1.04
10,01 Personal Care,05 Personal Care Emergencies,01 Personal emergencies,1.52
11,01 Personal Care,05 Personal Care Emergencies,"99 Personal care, emergencies, n.e.c.",1.52
12,02 Household Activities,01 Housework,01 Interior Cleaning,3.01
13,02 Household Activities,01 Housework,02 Laundry,2.07
14,02 Household Activities,01 Housework,"03 Sewing, repairing, and maintaining textiles",1.5
15,02 Household Activities,01 Housework,"04 Storing interior HH items, including food",3.39
16,02 Household Activities,01 Housework,"99 Housework, n.e.c.",2.51
17,02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up",01 Food and drink preparation,2.16
18,02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up",02 Food presentation,2.38
19,02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up",03 Kitchen and Food Clean-Up,2.54
20,02 Household Activities,"02 Food and Drink Preparation, Presentation, and Clean-up","99 Food and drink prep, presentation, and clean-up, n.e.c",2.32
21,02 Household Activities,"03 Interior Maintenance, Repair, and Decoration","01 Interior arrangement, decoration, and repairs",3.33
22,02 Household Activities,"03 Interior Maintenance, Repair, and Decoration",02 Building and repairing furniture,4.25
23,02 Household Activities,"03 Interior Maintenance, Repair, and Decoration",03 Heating and cooling,4.42
24,02 Household Activities,"03 Interior Maintenance, Repair, and Decoration","99 Interior maintenance, repair and decoration, n.e.c.",3.85
25,02 Household Activities,"04 Exterior Maintenance, Repair and Decoration",01 Exterior Cleaning,3.93
26,02 Household Activities,"04 Exterior Maintenance, Repair and Decoration","02 Exterior repair, improvements, and decoration",4.75
27,02 Household Activities,"04 Exterior Maintenance, Repair and Decoration","99 Exterior maintenance, repair and decoration, n.e.c.",4.49
28,02 Household Activities,"05 Lawn, Garden, and Houseplants","01 Lawn, Garden, and Houseplants",3.66
29,02 Household Activities,"05 Lawn, Garden, and Houseplants","02 Ponds, pools, and hot tubs",2.64
30,02 Household Activities,"05 Lawn, Garden, and Houseplants","99 Lawn and garden, n.e.c.",3.45
31,02 Household Activities,06 Animals and pets,01 Care for animals and pets (not veterinary care),2.72
32,02 Household Activities,06 Animals and pets,"99 Pet and animal care, n.e.c.",2.72
33,02 Household Activities,07 Vehicles,01 Vehicle repair and maintenance (by self),2.93
34,02 Household Activities,07 Vehicles,"99 Vehicles, n.e.c.",2.93
35,02 Household Activities,08 Appliance and Tools,"01 Appliance and tool set-up, repair, and maintenance (by self)",2.98
36,02 Household Activities,08 Appliance and Tools,"99 Appliances and tools, n.e.c.",2.98
37,02 Household Activities,09 HH Management,01 Financial management,1.8
38,02 Household Activities,09 HH Management,02 HH personal organization and planning,2.11
39,02 Household Activities,09 HH Management,03 HH and personal mail and messages (except e-mail),1.9
40,02 Household Activities,09 HH Management,04 HH and personal e-mail and messages,1.8
41,02 Household Activities,09 HH Management,05 Home Security,2.88
42,02 Household Activities,09 HH Management,"99 HH management, n.e.c.",2.13
43,02 Household Activities,"99 HH Activities, n.e.c.","99 HH activities, n.e.c.",2.93
44,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,01 Physical care for HH children,2.67
45,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,02 Reading to/with HH children,1.3
46,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,"03 Playing with HH children, not sports",3.26
47,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,04 Arts and crafts with HH children,1.5
48,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,05 Playing sports with HH children,5
49,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,06 Talking with/listening to HH children,1.5
50,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,07 Helping/teaching HH children (not related to education),2.64
51,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,08 Organization and planning for HH children,1.81
52,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,09 Looking after HH children (as a primary activity),1.71
53,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,10 Attending HH children's events,1.5
54,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,11 Waiting for/with HH children,1.3
55,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,12 Picking up/dropping off HH children,2
56,03 Caring for and Helping HH Members,01 Caring for and Helping HH Children,"99 Caring for and helping HH children, n.e.c.",2.21
57,03 Caring for and Helping HH Members,02 Activities Related to HH Children's Education,01 Homework (HH children),1.66
58,03 Caring for and Helping HH Members,02 Activities Related to HH Children's Education,02 Meetings and school conferences (HH children),1.53
59,03 Caring for and Helping HH Members,02 Activities Related to HH Children's Education,03 Home schooling of HH children,1.5
60,03 Caring for and Helping HH Members,02 Activities Related to HH Children's Education,04 Waiting associated with HH children's education,1.3
61,03 Caring for and Helping HH Members,02 Activities Related to HH Children's Education,"99 Activities related to HH children's education, n.e.c.",1.57
62,03 Caring for and Helping HH Members,03 Activities related to HH Children's Health,01 Providing medical care to HH children,2.5
63,03 Caring for and Helping HH Members,03 Activities related to HH Children's Health,02 Obtaining medical care for HH children,1.5
64,03 Caring for and Helping HH Members,03 Activities related to HH Children's Health,03 Waiting associated with HH children's health,1.3
65,03 Caring for and Helping HH Members,03 Activities related to HH Children's Health,"99 Activities related to HH children's health, n.e.c.",2.03
66,03 Caring for and Helping HH Members,04 Caring for HH Adults,01 Physical care for HH adults,2.89
67,03 Caring for and Helping HH Members,04 Caring for HH Adults,02 Looking after HH adult (as primary activity),2
68,03 Caring for and Helping HH Members,04 Caring for HH Adults,03 Providing medical care to HH adult,2.5
69,03 Caring for and Helping HH Members,04 Caring for HH Adults,04 Obtaining medical and care services for HH adult,1.5
70,03 Caring for and Helping HH Members,04 Caring for HH Adults,05 Waiting associated with caring for HH adults,1.3
71,03 Caring for and Helping HH Members,04 Caring for HH Adults,"99 Caring for and helping HH adult, n.e.c.",2.16
72,03 Caring for and Helping HH Members,05 Helping HH Adults,01 Helping HH adults,2.05
73,03 Caring for and Helping HH Members,05 Helping HH Adults,02 Organization and planning for HH adults,1.68
74,03 Caring for and Helping HH Members,05 Helping HH Adults,03 Picking up/dropping off HH adult,2
75,03 Caring for and Helping HH Members,05 Helping HH Adults,04 Waiting associated with helping HH adults,1.5
76,03 Caring for and Helping HH Members,05 Helping HH Adults,"99 Helping HH adults, n.e.c.",1.81
77,03 Caring for and Helping HH Members,"99 Caring for and Helping HH Members, n.e.c.","99 Caring for and Helping HH Members, n.e.c.",2.08
78,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,01 Physical care for nonHH children,2.72
79,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,02 Reading to/with nonHH children,1.3
80,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,"03 Playing with nonHH children, not sports",3.3
81,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,04 Arts and crafts with nonHH children,1.5
82,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,05 Playing sports with nonHH children,5
83,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,06 Talking with/listening to HH children,1.5
84,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,07 Helping/teaching nonHH children (not related to education),2.64
85,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,08 Organization and planning for nonHH children,1.84
86,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,09 Looking after nonHH children (as a primary activity),1.67
87,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,10 Attending nonHH children's events,1.5
88,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,11 Waiting for/with nonHH children,1.3
89,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,12 Dropping off/picking up nonHH children,1
90,04 Caring for and Helping nonHH Members,01 Caring for and Helping nonHH Children,"99 Caring for and helping nonHH children, n.e.c.",2.16
91,04 Caring for and Helping nonHH Members,02 Activities Related to nonHH Children's Education,01 Homework (nonHH children),1.66
92,04 Caring for and Helping nonHH Members,02 Activities Related to nonHH Children's Education,02 Meetings and school conferences (nonHH children),1.53
93,04 Caring for and Helping nonHH Members,02 Activities Related to nonHH Children's Education,03 Home schooling of nonHH children,1.5
94,04 Caring for and Helping nonHH Members,02 Activities Related to nonHH Children's Education,04 Waiting associated with nonHH children's education,1.3
95,04 Caring for and Helping nonHH Members,02 Activities Related to nonHH Children's Education,"99 Activities related to nonHH child's education, n.e.c.",1.57
96,04 Caring for and Helping nonHH Members,03 Activities related to nonHH Children's Health,01 Providing medical care to nonHH children,2.5
97,04 Caring for and Helping nonHH Members,03 Activities related to nonHH Children's Health,02 Obtaining medical care for nonHH children,1.5
98,04 Caring for and Helping nonHH Members,03 Activities related to nonHH Children's Health,03 Waiting associated with nonHH children's health,1.3
99,04 Caring for and Helping nonHH Members,03 Activities related to nonHH Children's Health,"99 Activities related to nonHH child's health, n.e.c.",2.03
100,04 Caring for and Helping nonHH Members,04 Caring for nonHH Adults,01 Physical care for nonHH adults,2.89
101,04 Caring for and Helping nonHH Members,04 Caring for nonHH Adults,02 Looking after nonHH adult (as primary activity),2
