name,census_code,activity_code,met_values
Chief executives,10,1,1.5
General and operations managers,20,1,1.5
Legislator,30,1,1.5
Advertising and promotions managers,40,1,1.5
Marketing and sales managers,50,1,1.5
Public relations managers,60,1,1.5
Administrative services managers,100,1,1.5
Computer and information systems managers,110,1,1.5
Financial managers,120,1,1.5
Human resources managers,130,1,1.5
Industrial production managers,140,1,1.5
Purchasing managers,150,1,1.5
Transportation, storage, and distribution managers,160,1,1.5
Farm, ranch, and other agricultural managers,200,5,3
Farmers and ranchers,210,5,3
Construction managers,220,4,2.5
Education administrators,230,1,1.5
Engineering managers,300,1,1.5
Food service managers,310,3,2
Funeral directors,320,3,2
Gaming managers,330,1,1.5
Lodging managers,340,1,1.5
Medical and health service managers,350,1,1.5
Natural sciences managers,360,1,1.5
Postmasters and mail,400,3,2
Property, real estate, and community association managers,410,3,2
Social and community services managers,420,3,2
Managers, all others,430,1,1.5
Agents and business managers of artists, performers, and athletes,500,1,1.5
Purchasing agents and buyers, farm products,510,1,1.5
Wholesale and retail buyers, except farm products,520,1,1.5
Purchasing agents, except wholesale, retail, and farm products,530,1,1.5
Claims adjusters, appraisers, examiners, and investigators,540,9,2.5
Compliance officers, except agriculture, construction, health and safety, and transportation,560,3,2
Cost estimators,600,1,1.5
Human resources, training, and labor relations specialists,620,1,1.5
Logisticians,700,1,1.5
Management analysts,710,1,1.5
Meeting and convention planners,720,11,2.5
Other business operations specialists,730,3,2
Accountants and auditors,800,1,1.5
Appraisers and assessors of real estate,810,9,2.5
Budget analysts,820,1,1.5
Credit analysts,830,1,1.5
Financial analysts,840,1,1.5
Personal financial advisors,850,1,1.5
Loan counselors and officers,910,1,1.5
Tax examiners, collectors, and revenue agents,930,1,1.5
Tax preparers,940,1,1.5
Financial specialists, all other,950,1,1.5
Computer scientists and systems analysts,1000,1,1.5
Computer programmers,1010,1,1.5
Computer software engineers,1020,1,1.5
Computer support specialists,1040,1,1.5
Database administrators,1060,1,1.5
Network and computer systems administrators,1100,9,2.5
Network systems and data communications analysts,1110,1,1.5
Actuaries,1200,1,1.5
Mathematicians,1210,1,1.5
Operations research analysts,1220,1,1.5
Statisticians,1230,1,1.5
Miscellaneous mathematical science occupations,1240,1,1.5
Architects, except naval,1300,1,1.5
Surveyors, cartographers, and photogrammetrists,1310,9,2.5
Aerospace engineers,1320,1,1.5
Agricultural engineers,1330,1,1.5
Biomedical engineers,1340,1,1.5
Chemical engineers,1350,1,1.5
Civil engineers,1360,1,1.5
Computer hardware engineers,1400,1,1.5
Electrical and electronics engineers,1410,1,1.5
Environmental engineers,1420,1,1.5
Industrial engineers, including health and safety,1430,1,1.5
Marine engineers and naval architects,1440,1,1.5
Materials engineers,1450,1,1.5
Mechanical engineers,1460,1,1.5
Mining and geological engineers, including mining safety,1500,1,1.5
Nuclear engineers,1510,1,1.5
Petroleum engineers,1520,1,1.5
Engineers, all other,1530,1,1.5
Drafters,1550,1,1.5
Engineering technicians,1560,9,2.5
Surveying and mapping technicians,1560,9,2.5
Agricultural and food scientists,1610,3,2
Conservation scientists and foresters,1640,9,2.5
Medical scientists,1650,3,2
Astronomers and physicists,1700,1,1.5
Atmospheric and space scientists,1710,1,1.5
Chemists and materials scientists,1720,3,2
Environmental scientists and geoscientists,1740,3,2
Physical scientists, all other,1760,3,2
Economists,1800,1,1.5
Market and survey researchers,1810,1,1.5
Psychologists,1820,1,1.5
Sociologists,1830,1,1.5
Urban and regional planners,1840,3,2
Miscellaneous social scientists and related workers,1850,3,2
Agricultural and food science technicians,1900,9,2.5
Biological technicians,1910,9,2.5
Chemical technicians,1920,9,2.5
Geological and petroleum technicians,1930,9,2.5
Nuclear technicians,1940,9,2.5
Other life, physical, and social science technicians,1960,9,2.5
Counselors,2000,1,1.5
Social workers,2010,9,2.5
Miscellaneous community and social service specialists,2020,9,2.5
Clergy,2040,3,2
Directors, religious activities and education,2050,3,2
Religious workers, all other,2060,3,2
Lawyers,2100,1,1.5
Judges, magistrates, and other judicial workers,2110,1,1.5
Paralegals and legal assistants,2140,1,1.5
Miscellaneous legal support workers,2150,1,1.5
Postsecondary teachers,2200,9,2.5
Preschool and kindergarten teachers,2300,9,2.5
Elementary and middle school teachers,2310,9,2.5
Secondary school teachers,2320,9,2.5
Special education teachers,2330,9,2.5
Other teachers and instructors,2340,9,2.5
Archivists, curators, and museum technicians,2400,9,2.5
Librarians,2430,1,2.5
Library technicians,2440,9,2.5
Teacher assistants,2540,9,2.5
Other education, training, and library workers,2550,9,2.5
Artists and related workers,2600,6,3.5
Designers,2630,6,3.5
Actors,2700,4,2.5
Producers and directors,2710,3,2
Athletes, coaches, umpires, and related workers,2720,9,2.5
Dancers and choreographers,2740,9,2.5
Musicians, singers, and related workers,2750,3,2
